|WNJT-FM     |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |TRENTON                  |NJ |US |BLED   -19961001KE  |0.     kW |0.11   kW |0.0     |210.0   |48488      |N |40 |16 |58.00 |W |74  |41 |11.00 |NEW YORK PUBLIC RADIO                                                       |  13.91 km |   8.64 mi |277.39 deg |0.0    m|244.   m|-         |-       |1045124 |226.   m|233490    |
|WMCX        |88.9  MHz |FM |205 |ND  |-                   |A  |-  |LIC    |WEST LONG BRANCH         |NJ |US |BLED   -19881227KB  |0.5    kW |1.     kW |36.0    |36.0    |43482      |N |40 |16 |44.00 |W |74  |0  |26.00 |MONMOUTH                                                                    |  43.99 km |  27.34 mi | 88.08 deg |48.    m|48.0   m|-         |-       |-       |36.    m|293441    |
|WBZC        |88.9  MHz |FM |205 |DA  |-                   |B1 |-  |LIC    |PEMBERTON                |NJ |US |BLED   -20060724ADI |0.47   kW |10.    kW |67.0    |67.0    |7844       |N |39 |50 |34.00 |W |74  |32 |40.00 |ROWAN COLLEGE AT BURLINGTON COUNTY                                          |  47.12 km |  29.28 mi |182.10 deg |96.    m|96.0   m|68696     |0.      |1046923 |57.    m|1136482   |
|WSIA        |88.9  MHz |FM |205 |ND  |-                   |D  |-  |LIC    |STATEN ISLAND            |NY |US |BLED   -19810909AB  |0.011  kW |0.011  kW |192.0   |192.0   |65557      |N |40 |35 |51.00 |W |74  |6  |53.00 |THE COLLEGE OF STATEN ISLAND                                                |  50.55 km |  31.41 mi | 43.18 deg |198.   m|198.0  m|-         |-       |-       |84.    m|33813     |
|WBYO        |88.9  MHz |FM |205 |DA  |-                   |A  |-  |LIC    |SELLERSVILLE             |PA |US |BLED   -19950531KB  |0.     kW |0.9    kW |0.0     |133.0   |7922       |N |40 |23 |2.00  |W |75  |21 |2.00  |FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    |  71.42 km |  44.38 mi |280.79 deg |0.0    m|274.   m|14596     |0.      |-       |36.    m|209669    |
|WWFM        |89.1  MHz |FM |206 |ND  |-                   |A  |-  |LIC    |TRENTON                  |NJ |US |BMLED  -20101201APO |1.15   kW |1.15   kW |89.0    |89.0    |41194      |N |40 |15 |30.00 |W |74  |38 |59.00 |MERCER COUNTY COMMUNITY COLLEGE                                             |  10.72 km |   6.66 mi |264.96 deg |118.   m|118.0  m|-         |-       |1039551 |87.    m|1411547   |
|WNYU-FM1    |89.1  MHz |FB |206 |ND  |-                   |D  |-  |LIC    |NEW YORK                 |NY |US |BLFTB  -20040909ADE |0.005  kW |0.005  kW |0.0     |0.0     |133733     |N |40 |43 |37.00 |W |73  |59 |53.00 |NEW YORK UNIVERSITY                                                         |  67.82 km |  42.14 mi | 40.84 deg |105.   m|105.0  m|40004     |-       |-       |94.    m|1011571   |
|U.N.        |89.1  MHz |FA |206 |ND  |-                   |B  |-  |VAC    |NEW YORK                 |NY |US |-      --           |-      kW |-      kW |-       |-       |126071     |N |40 |45 |0.00  |W |73  |58 |7.00  |-                                                                           |  71.39 km |  44.36 mi | 40.98 deg |-      m|-      m|-         |-       |-       |0.     m|290842    |
|WYBF        |89.1  MHz |FM |206 |DA  |-                   |A  |-  |LIC    |RADNOR TOWNSHIP          |PA |US |BLED   -19910422KC  |0.     kW |0.7    kW |0.0     |68.0    |8127       |N |40 |3  |22.00 |W |75  |22 |30.00 |CABRINI UNIVERSITY                                                          |  76.16 km |  47.33 mi |252.32 deg |0.0    m|151.   m|14249     |0.      |-       |11.    m|159432    |
|WXVU        |89.1  MHz |FM |206 |DA  |-                   |A  |-  |LIC    |VILLANOVA                |PA |US |BLED   -19970211KA  |0.     kW |0.1    kW |0.0     |85.0    |70229      |N |40 |1  |58.00 |W |75  |20 |15.00 |VILLANOVA UNIVERSITY                                                        |  74.01 km |  45.99 mi |249.63 deg |0.0    m|162.   m|14913     |0.      |-       |32.    m|241114    |
|WNJY        |89.3  MHz |FM |207 |DA  |-                   |A  |-  |LIC    |NETCONG                  |NJ |US |BLED   -20080707AEO |0.001  kW |0.52   kW |131.0   |131.0   |93964      |N |40 |53 |14.00 |W |74  |41 |55.00 |NEW YORK PUBLIC RADIO                                                       |  70.45 km |  43.78 mi |348.01 deg |385.   m|385.0  m|88028     |0.      |1046972 |64.    m|1253902   |
|WFJS-FM     |89.3  MHz |FM |207 |DA  |-                   |B1 |-  |LIC    |FREEHOLD                 |NJ |US |BLED   -20171002AEX |0.02   kW |15.    kW |50.0    |50.0    |174562     |N |40 |16 |26.70 |W |74  |9  |50.30 |DOMESTIC CHURCH MEDIA FOUNDATION                                            |  30.65 km |  19.05 mi | 88.38 deg |78.    m|78.0   m|119071    |0.      |-       |49.    m|1767890   |
|WRDV        |89.3  MHz |FM |207 |DA  |-                   |A  |-  |LIC    |WARMINSTER               |PA |US |BLED   -20131105AAM |0.085  kW |1.6    kW |36.0    |36.0    |7931       |N |40 |12 |19.00 |W |75  |6  |27.00 |BUX-MONT EDUCATIONAL RADIO ASSOCIATION                                      |  50.11 km |  31.13 mi |262.32 deg |116.   m|116.0  m|101899    |0.      |-       |24.    m|1605729   |
|WSOU        |89.5  MHz |FM |208 |ND  |-                   |A  |-  |LIC    |SOUTH ORANGE             |NJ |US |BMLED  -20050909ABX |2.4    kW |2.4    kW |95.0    |95.0    |59707      |N |40 |44 |28.00 |W |74  |14 |42.00 |SETON HALL UNIVERSITY                                                       |  57.74 km |  35.88 mi | 24.03 deg |149.   m|149.0  m|-         |-       |1247641 |76.    m|1073632   |
|WYPA        |89.5  MHz |FM |208 |DA  |-                   |A  |-  |LIC    |CHERRY HILL              |NJ |US |BLED   -20120615ADL |0.     kW |1.9    kW |0.0     |61.0    |7045       |N |39 |54 |43.00 |W |74  |59 |21.00 |EDUCATIONAL MEDIA FOUNDATION                                                |  55.90 km |  34.74 mi |225.21 deg |0.0    m|76.    m|108967    |0.      |-       |60.    m|1504069   |
|WDVR        |89.7  MHz |FM |209 |DA  |-                   |B1 |-  |LIC    |DELAWARE TOWNSHIP        |NJ |US |BLED   -20090330ABU |0.006  kW |3.8    kW |221.0   |221.0   |52174      |N |40 |30 |36.00 |W |74  |57 |34.00 |PENN-JERSEY EDUCATIONAL RADIO CORP.                                         |  45.77 km |  28.44 mi |306.40 deg |220.7  m|220.7  m|78444     |0.      |-       |50.    m|1316461   |
|WRDR        |89.7  MHz |FM |209 |ND  |-                   |A  |-  |LIC    |FREEHOLD TOWNSHIP        |NJ |US |BLED   -20120322AEW |0.001  kW |1.6    kW |100.0   |100.0   |20485      |N |40 |7  |49.00 |W |74  |7  |19.00 |BRIDGELIGHT, LLC                                                            |  37.46 km |  23.28 mi |113.83 deg |116.   m|116.0  m|-         |-       |1211466 |84.    m|1493810   |
|WNJM        |89.9  MHz |FM |210 |ND  |-                   |A  |-  |LIC    |MANAHAWKIN               |NJ |US |BLED   -20131220BMV |0.001  kW |0.25   kW |69.5    |69.5    |48460      |N |39 |41 |53.00 |W |74  |14 |6.00  |WHYY, INC.                                                                  |  67.81 km |  42.14 mi |158.62 deg |78.5   m|78.5   m|-         |-       |1027616 |73.5   m|1610297   |
|WKCR-FM     |89.9  MHz |FM |210 |ND  |-                   |B1 |-  |LIC    |NEW YORK                 |NY |US |BLED   -20100203ABD |1.35   kW |1.35   kW |284.0   |284.0   |68270      |N |40 |45 |22.00 |W |73  |59 |12.00 |TRUSTEES OF COLUMBIA UNIVERSITY IN NEW YORK                                 |  70.91 km |  44.06 mi | 39.70 deg |298.2  m|298.2  m|-         |-       |1238745 |283.   m|1353698   |
|WRTI        |90.1  MHz |FM |211 |DA  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLED   -20100927AHC |7.7    kW |7.7    kW |371.0   |371.0   |65190      |N |40 |2  |29.60 |W |75  |14 |11.50 |TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER ED                   |  65.64 km |  40.79 mi |247.75 deg |435.   m|435.0  m|84290     |0.      |1231524 |346.   m|1400749   |
|WRTI        |90.1  MHz |FS |211 |DA  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BXMLED -20100928AFB |11.    kW |9.7    kW |308.0   |308.0   |65190      |N |40 |2  |19.00 |W |75  |14 |14.00 |TEMPLE UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER ED                   |  65.82 km |  40.90 mi |247.51 deg |374.   m|374.0  m|13918     |0.      |1026755 |300.   m|1404881   |
|WKNJ-FM     |90.3  MHz |FM |212 |ND  |-                   |D  |-  |LIC    |UNION TOWNSHIP           |NJ |US |BLED   -19820913AW  |0.009  kW |0.009  kW |5.0     |5.0     |33783      |N |40 |40 |35.00 |W |74  |14 |2.00  |KEAN UNIVERSITY                                                             |  51.71 km |  32.13 mi | 28.24 deg |39.    m|39.0   m|-         |-       |-       |25.    m|46882     |
|WMSC        |90.3  MHz |FM |212 |ND  |-                   |D  |-  |LIC    |UPPER MONTCLAIR          |NJ |US |BLED   -19980209KA  |0.001  kW |0.001  kW |205.0   |205.0   |43579      |N |40 |51 |53.00 |W |74  |12 |3.00  |MONTCLAIR STATE UNIVERSITY                                                  |  71.82 km |  44.63 mi | 22.23 deg |272.   m|272.0  m|-         |-       |1045123 |152.   m|262228    |
|WVPH        |90.3  MHz |FM |212 |ND  |-                   |A  |-  |LIC    |PISCATAWAY               |NJ |US |BLED   -20071009ABT |0.1    kW |0.1    kW |77.4    |77.4    |52686      |N |40 |31 |21.00 |W |74  |25 |52.50 |PISCATAWAY BOARD OF EDUCATION                                               |  29.47 km |  18.31 mi | 15.45 deg |112.5  m|112.5  m|-         |-       |1045053 |81.1   m|1202807   |
|WNJO        |90.3  MHz |FM |212 |ND  |-                   |A  |-  |LIC    |TOMS RIVER               |NJ |US |BMLED  -20110322AAK |0.001  kW |4.     kW |37.0    |37.0    |123020     |N |39 |54 |52.00 |W |74  |4  |58.00 |NEW YORK PUBLIC RADIO                                                       |  54.30 km |  33.74 mi |136.08 deg |39.    m|39.0   m|-         |-       |-       |37.    m|1417894   |
|WHCR-FM     |90.3  MHz |FM |212 |ND  |-                   |D  |-  |LIC    |NEW YORK                 |NY |US |BLED   -19860626KA  |0.008  kW |0.008  kW |81.0    |81.0    |11412      |N |40 |49 |9.00  |W |73  |56 |59.00 |CITY COLLEGE OF NEW YORK                                                    |  78.30 km |  48.65 mi | 38.14 deg |102.   m|102.0  m|-         |-       |-       |60.    m|89620     |
|WKRB        |90.3  MHz |FM |212 |ND  |-                   |D  |-  |LIC    |BROOKLYN                 |NY |US |BLED   -20060424ADG |0.01   kW |0.01   kW |40.7    |40.7    |34902      |N |40 |34 |36.00 |W |73  |56 |4.00  |KINGSBOROUGH COMMUNITY COLLEGE                                              |  60.74 km |  37.74 mi | 55.20 deg |43.    m|43.0   m|-         |-       |-       |40.6   m|1125514   |
|WCVH        |90.5  MHz |FM |213 |ND  |-                   |A  |-  |LIC    |FLEMINGTON               |NJ |US |BLED   -19900808KA  |0.078  kW |0.078  kW |137.0   |137.0   |28129      |N |40 |33 |25.00 |W |74  |54 |18.00 |HUNTERDON CENTRAL H. S. BD. OF EDUC.                                        |  45.63 km |  28.35 mi |315.14 deg |244.   m|244.0  m|-         |-       |-       |30.    m|151440    |
|WBJB-FM     |90.5  MHz |FM |213 |DA  |-                   |A  |-  |LIC    |LINCROFT                 |NJ |US |BLED   -19981123KD  |0.9    kW |0.9    kW |113.0   |113.0   |7116       |N |40 |19 |19.00 |W |74  |7  |57.00 |BROOKDALE COMMUNITY COLLEGE                                                 |  33.87 km |  21.04 mi | 79.42 deg |140.   m|140.0  m|15508     |0.      |1046073 |122.   m|277476    |
|WJSV        |90.5  MHz |FM |213 |ND  |-                   |A  |-  |LIC    |MORRISTOWN               |NJ |US |BLED   -20150204AAN |0.125  kW |0.125  kW |5.0     |5.0     |43849      |N |40 |50 |6.00  |W |74  |29 |7.00  |MORRIS SCHOOL DISTRICT                                                      |  63.18 km |  39.26 mi |  2.97 deg |159.   m|159.0  m|-         |-       |-       |17.    m|1670195   |
|WYRS        |90.7  MHz |FM |214 |DA  |-                   |B1 |-  |LIC    |MANAHAWKIN               |NJ |US |BLED   -20070619ABP |0.001  kW |15.    kW |80.0    |80.0    |52173      |N |39 |38 |24.00 |W |74  |17 |32.00 |WYRS BROADCASTING                                                           |  72.37 km |  44.97 mi |164.09 deg |89.    m|89.0   m|72516     |0.      |1044762 |88.    m|1191570   |
|WYRS        |90.7  MHz |FS |214 |ND  |-                   |A  |-  |LIC    |MANAHAWKIN               |NJ |US |BXMLED -20070827ABK |0.001  kW |0.5    kW |79.0    |79.0    |52173      |N |39 |41 |57.00 |W |74  |14 |5.00  |WYRS BROADCASTING                                                           |  67.71 km |  42.07 mi |158.56 deg |88.    m|88.0   m|-         |-       |1027616 |85.    m|1201860   |
|WFUV-FM3    |90.7  MHz |FB |214 |DA  |-                   |D  |-  |LIC    |NEW YORK                 |NY |US |BLFTB  -20100413AHZ |2.5    kW |2.5    kW |190.0   |190.0   |179841     |N |40 |44 |54.60 |W |73  |59 |25.80 |FORDHAM UNIVERSITY                                                          |  70.05 km |  43.53 mi | 39.94 deg |206.   m|206.0  m|90660     |140.    |-       |194.   m|1362056   |
|WFUV        |90.7  MHz |FS |214 |DA  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLED  -20070731APL |2.5    kW |2.5    kW |133.0   |133.0   |22033      |N |40 |48 |48.00 |W |73  |57 |47.00 |FORDHAM UNIVERSITY                                                          |  77.09 km |  47.90 mi | 37.79 deg |154.   m|154.0  m|78055     |213.    |-       |116.   m|1193620   |
|WHYY-FM     |90.9  MHz |FM |215 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BMLED  -20040817AAX |13.5   kW |13.5   kW |280.0   |280.0   |72336      |N |40 |2  |30.00 |W |75  |14 |24.00 |WHYY, INC.                                                                  |  65.91 km |  40.96 mi |247.86 deg |347.   m|347.0  m|-         |-       |1027110 |279.   m|1028845   |
|WFMU        |91.1  MHz |FM |216 |ND  |-                   |A  |-  |LIC    |EAST ORANGE              |NJ |US |BMLED  -20050408ACI |1.25   kW |1.25   kW |151.0   |151.0   |3249       |N |40 |47 |19.00 |W |74  |15 |20.00 |AURICLE COMMUNICATIONS                                                      |  62.25 km |  38.68 mi | 21.29 deg |217.   m|217.0  m|-         |-       |-       |28.    m|1072705   |
|WWNJ        |91.1  MHz |FM |216 |DA  |-                   |A  |-  |LIC    |TOMS RIVER TOWNSHIP      |NJ |US |BLED   -20120926AIX |5.8    kW |5.8    kW |97.0    |97.0    |41203      |N |39 |59 |48.60 |W |74  |10 |22.50 |MERCER COUNTY COMMUNITY COLLEGE                                             |  42.37 km |  26.33 mi |135.04 deg |105.7  m|105.7  m|110562    |0.      |1044747 |87.5   m|1520156   |
|WFMU        |91.1  MHz |FS |216 |ND  |-                   |A  |-  |LIC    |EAST ORANGE              |NJ |US |BXLED  -20050527BGU |1.25   kW |1.25   kW |145.0   |145.0   |3249       |N |40 |47 |19.00 |W |74  |15 |20.00 |AURICLE COMMUNICATIONS                                                      |  62.25 km |  38.68 mi | 21.29 deg |209.   m|209.0  m|-         |-       |-       |20.    m|1113748   |
|WTSR        |91.3  MHz |FM |217 |ND  |-                   |A  |-  |LIC    |TRENTON                  |NJ |US |BLED   -1325        |1.5    kW |1.5    kW |11.0    |11.0    |67625      |N |40 |16 |17.00 |W |74  |46 |55.00 |THE COLLEGE OF NJ RADIO SYSTEM                                              |  21.93 km |  13.62 mi |271.41 deg |56.    m|56.0   m|-         |-       |-       |20.    m|298829    |
|NEW         |91.3  MHz |FX |217 |ND  |-                   |D  |-  |APP    |SHAWMONT                 |PA |US |BNPFT  -20000418AAH |0.01   kW |0.01   kW |193.0   |0.0     |123262     |N |40 |2  |30.00 |W |75  |14 |24.00 |FOUR RIVERS COMMUNITY B/CSTG CORPORATION                                    |  65.91 km |  40.96 mi |247.86 deg |257.   m|257.0  m|32559     |-       |-       |190.   m|496222    |
|WDBK        |91.5  MHz |FM |218 |ND  |-                   |A  |-  |LIC    |BLACKWOOD                |NJ |US |BLED   -19820329AA  |0.1    kW |0.1    kW |25.0    |25.0    |8468       |N |39 |47 |6.00  |W |75  |2  |19.00 |CAMDEN COUNTY COLLEGE                                                       |  69.21 km |  43.01 mi |219.43 deg |55.    m|55.0   m|-         |-       |-       |22.    m|40684     |
|WNYE        |91.5  MHz |FM |218 |ND  |-                   |B1 |-  |LIC    |NEW YORK                 |NY |US |BLED   -20090205ABP |2.     kW |2.     kW |281.0   |281.0   |3539       |N |40 |45 |22.00 |W |73  |59 |12.00 |NEW YORK CITY DEPT. OF INFO TECHNOLOGY & TELECOMMUNICATIONS                 |  70.91 km |  44.06 mi | 39.70 deg |297.   m|297.0  m|-         |-       |1238745 |282.   m|1283982   |
|WLNJ        |91.7  MHz |FM |219 |DA  |-                   |A  |-  |LIC    |LAKEHURST                |NJ |US |BLED   -20120118ABO |0.13   kW |3.5    kW |49.0    |49.0    |174908     |N |40 |4  |7.00  |W |74  |28 |9.00  |WYRS BROADCASTING                                                           |  22.51 km |  13.98 mi |168.00 deg |84.    m|84.0   m|104626    |0.      |-       |32.    m|1482611   |
|WKDU        |91.7  MHz |FM |219 |DA  |-                   |A  |-  |LIC    |PHILADELPHIA             |PA |US |BLED   -19960326KA  |0.8    kW |0.8    kW |47.0    |47.0    |17596      |N |39 |57 |36.00 |W |75  |11 |27.00 |DREXEL UNIVERSITY                                                           |  66.26 km |  41.17 mi |239.17 deg |84.    m|84.0   m|14053     |0.      |-       |57.    m|222129    |
|WLBS        |91.7  MHz |FM |219 |DA  |-                   |A  |-  |LIC    |BRISTOL                  |PA |US |BLED   -19971006KA  |0.     kW |0.1    kW |0.0     |21.0    |7923       |N |40 |9  |33.00 |W |74  |51 |24.00 |BUX-MONT EDUCATIONAL RADIO ASSOCIATION                                      |  30.72 km |  19.09 mi |247.12 deg |0.0    m|50.    m|13911     |0.      |-       |18.    m|255181    |
|WBMR        |91.7  MHz |FM |219 |DA  |-                   |A  |-  |LIC    |TELFORD                  |PA |US |BLED   -20120521ADU |0.125  kW |0.5    kW |77.0    |77.0    |68857      |N |40 |18 |48.10 |W |75  |17 |29.10 |UNITED MINISTRIES                                                           |  65.44 km |  40.66 mi |274.79 deg |198.   m|198.0  m|108773    |0.      |-       |21.3   m|1499819   |
|WKDU        |91.7  MHz |FS |219 |ND  |-                   |A  |-  |LIC    |PHILADELPHIA             |PA |US |BXLED  -20091231AAM |0.033  kW |0.033  kW |40.0    |40.0    |17596      |N |39 |57 |36.00 |W |75  |11 |27.00 |DREXEL UNIVERSITY                                                           |  66.26 km |  41.17 mi |239.17 deg |77.    m|77.0   m|-         |-       |-       |50.    m|1348759   |
|WBMR        |91.7  MHz |FS |219 |ND  |-                   |A  |-  |LIC    |TELFORD                  |PA |US |BXLED  -20121024ACM |0.11   kW |0.11   kW |74.0    |74.0    |68857      |N |40 |18 |48.00 |W |75  |17 |29.00 |UNITED MINISTRIES                                                           |  65.44 km |  40.66 mi |274.79 deg |193.   m|193.0  m|-         |-       |-       |18.    m|1521697   |
|WBNJ        |91.9  MHz |FM |220 |DA  |-                   |A  |-  |LIC    |BARNEGAT                 |NJ |US |BLED   -20100528ADE |0.     kW |4.5    kW |0.0     |69.0    |123342     |N |39 |45 |54.00 |W |74  |19 |12.00 |WWN EDUCATIONAL RADIO CORPORATION                                           |  58.39 km |  36.28 mi |162.62 deg |0.0    m|93.    m|32855     |0.      |-       |45.    m|1371861   |
|WXPJ        |91.9  MHz |FM |220 |ND  |-                   |B1 |-  |LIC    |HACKETTSTOWN             |NJ |US |BLED   -20161018AAS |5.4    kW |5.4    kW |167.0   |167.0   |9759       |N |40 |51 |8.00  |W |74  |52 |25.00 |THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA                              |  71.42 km |  44.38 mi |335.72 deg |387.   m|387.0  m|-         |-       |-       |41.    m|1742002   |
|W220AG      |91.9  MHz |FX |220 |ND  |-                   |D  |-  |LIC    |LAWRENCEVILLE, ETC.      |NJ |US |BLFT   -19930308TA  |0.009  kW |0.009  kW |121.0   |121.0   |7925       |N |40 |16 |58.00 |W |74  |41 |11.00 |BUX-MONT EDUCATIONAL RADIO ASSOCIATION                                      |  13.91 km |   8.64 mi |277.39 deg |157.   m|157.0  m|-         |-       |-       |0.     m|182463    |
|W220AA      |91.9  MHz |FX |220 |DA  |-                   |D  |-  |LIC    |PARLIN, ETC.             |NJ |US |BLFT   -20111024ABF |0.01   kW |0.01   kW |87.0    |0.0     |40054      |N |40 |27 |19.00 |W |74  |17 |44.00 |BRIDGELIGHT, LLC                                                            |  28.55 km |  17.74 mi | 42.69 deg |109.   m|109.0  m|102667    |10.     |1026276 |57.    m|1453778   |
|W220EJ      |91.9  MHz |FX |220 |ND  |-                   |D  |-  |LIC    |WEEHAWKEN                |NJ |US |BLFT   -20170630AAP |0.01   kW |0.01   kW |0.0     |0.0     |93996      |N |40 |45 |22.00 |W |73  |59 |12.00 |LIVING WAY MINISTRIES, INC                                                  |  70.91 km |  44.06 mi | 39.70 deg |259.   m|259.0  m|125915    |-       |1238745 |244.   m|1759459   |
|WEMQ-LP     |92.1  MHz |FL |221 |ND  |-                   |L1 |-  |LIC    |HORSHAM                  |PA |US |BLL    -20171016AAC |0.016  kW |0.016  kW |73.8    |0.0     |196429     |N |40 |8  |42.00 |W |75  |9  |6.00  |COUNTY OF MONTGOMERY                                                        |  55.11 km |  34.24 mi |255.94 deg |151.   m|0.0    m|-         |-       |-       |54.    m|1769420   |
|W222BV      |92.3  MHz |FX |222 |DA  |-                   |D  |-  |LIC    |HARMONY TOWNSHIP         |NJ |US |BLFT   -20161018ABE |0.01   kW |0.01   kW |242.9   |0.0     |142659     |N |40 |46 |14.00 |W |75  |3  |52.00 |PENN JERSEY EDUCATIONAL RADIO CORPORATION                                   |  72.28 km |  44.91 mi |320.99 deg |405.   m|405.0  m|115113    |230.    |-       |31.    m|1742356   |
|WNYL        |92.3  MHz |FM |222 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BLH    -19940204KF  |6.     kW |6.     kW |415.0   |415.0   |58579      |N |40 |44 |54.00 |W |73  |59 |10.00 |ENTERCOM LICENSE, LLC                                                       |  70.28 km |  43.67 mi | 40.18 deg |429.   m|429.0  m|-         |-       |-       |413.   m|194662    |
|WNYL        |92.3  MHz |FS |222 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20020828AAB |18.    kW |18.    kW |224.0   |224.0   |58579      |N |40 |45 |28.00 |W |73  |59 |12.00 |ENTERCOM LICENSE, LLC                                                       |  71.05 km |  44.15 mi | 39.60 deg |241.   m|241.0  m|-         |-       |-       |226.   m|593999    |
|WNYL        |92.3  MHz |FS |222 |ND  |-                   |B  |-  |LIC    |NEW YORK                 |NY |US |BXLH   -20171010ACE |7.1    kW |7.1    kW |386.7   |386.7   |58579      |N |40 |44 |53.60 |W |73  |59 |10.50 |ENTERCOM LICENSE, LLC                                                       |  70.26 km |  43.66 mi | 40.18 deg |400.1  m|400.1  m|-         |-       |1007048 |384.6  m|1768625   |
